"V1" "V2"
"1" 8929062.96919706 8929062.96919706
"2" 17972191.6362392 18112417.3496925
"3" 22950193.2456575 22038169.7977781
"4" 32405248.1578541 31401629.6522557
"5" 44159190.7248679 40104096.4710011
"6" 58359125.9219685 49195967.6716312
"7" 74128671.1516223 56280877.2529244
"8" 91063972.6937212 59072098.7325401
"9" 100822441.654134 61039122.3074503
"10" 109002526.135411 62791533.9005961
"11" 115318103.511071 64143313.9115851
"12" 120151370.836985 65103078.0681596
"13" 123700151.27448 65867504.5625164
"14" 126272138.931218 66628985.1621878
"15" 128021889.965581 67008638.2959541
"16" 129228596.490466 67387575.7707718
"17" 130164554.317591 67765804.2814227
"18" 130698380.821735 67954654.7366351
"19" 131098274.121085 68143330.410795
"20" 131364643.865408 68331832.10972
"21" 131497761.229979 68520160.6325649
"22" 131630833.690719 68520160.6325649
"23" 131763861.32326 68708316.7719011
"24" 131763861.32326 68708316.7719011
"25" 131763861.32326 68708316.7719011
