#https://www.dropbox.com/home/PSC%20project%202015/marine%20mammal%20data		
Year	pupCounts	AdultExpansion
1970	8166.535	0
1971	8600.613	0
1972	9057.764	0
1973	9539.215	0
1974	10046.256	0
1975	11782	0
1976	11192	0
1977	11192	0
1978	12358.64	0
1979	13015.543	55966.8349
1980	13707.363	58941.6609
1981	16032	68939.5522
1982	19057	81946.8286
1983	12323	52990.0352
1984	14093	60598.2488
1985	15321	65878.4295
1986	17500	75250.0086
1987	19113	82184.5799
1988	19523	83947.9411
1989	24004	103216.1508
1990	24439	105088.4826
1991	29535	127001.7255
1992	20366	87573.7312
1993	22824	98144.0084
1994	34933	150212.7385
1995	36163	155502.8307
1996	40571	174454.0057
1997	40978	176207.4812
1998	14968	64362.7354
1999	42414	182379.2239
2000	49738	213872.1057
2001	48712	209463.7156
2002	45510	195693.6235
2003	36269	155958.5146
2004	43183	185688.0266
2005	48385	208056.962
2006	55758	208056.962
2007	54170	208056.962
2008	59575	208056.962
2009	61547.533	208056.962
2010	64818.99	208056.962
2011	68264.336	208056.962
2012	71892.814	208056.962
2013	75714.158	208056.962
2014	79738.618	208056.962
2015	83976.993	208056.962
