year	u.WA.StraitJuanDeFuca	u.WA.SanJuanIslands	u.WA.EasternBays	u.WA.PugetSound	u.WA.HoodCanal
1970	102.8245949	98.65900889	196.3213093	104.2980519	754.7915195
1971	132.4234209	143.6866812	252.0216242	126.1808288	757.0928832
1972	167.2221513	201.8075725	314.6685643	150.5860483	759.2036849
1973	207.370732	274.2885987	383.2953872	177.4495622	761.1406352
1974	252.8934865	361.9010877	456.7211086	206.660842	762.9192024
1975	303.688732	464.851865	533.6389704	238.0677209	764.5537008
1976	359.5348757	582.7648732	612.7002299	271.4823907	766.0573773
1977	420.10194	714.7102001	692.5860464	306.6882106	767.4424999
1978	484.9671938	859.2718641	772.063532	343.4469043	768.7204351
1979	553.8153556	1020.499984	882.2270737	381.526901	770.1183906
1980	625.9611691	1192.451724	997.4698253	420.6512918	771.4320548
1981	700.8220639	1373.110195	1117.740267	460.5589705	772.6723881
1982	777.7989129	1560.389775	1243.312779	500.9932761	773.84979
1983	856.2930563	1752.231983	1374.836581	541.7067942	774.9741818
1984	935.6585847	1996.553801	1565.779948	582.4652855	776.05508
1985	1015.189645	2042.942999	1510.772791	623.0507393	777.1016745
1986	1093.968945	2208.067589	1618.335877	662.9511684	778.1228986
1987	1172.64829	2377.688069	1739.091868	702.2602979	779.1275063
1988	1250.630361	2695.668178	1845.318411	740.8179296	780.1241424
1989	1326.640055	2926.643883	1860.962124	778.4845802	781.121416
1990	1400.67964	3191.641305	1913.419302	815.1411407	782.1279757
1991	1473.281178	3490.409652	1967.325759	850.6881515	783.1525832
1992	1544.21852	3788.76582	2072.909266	884.9249764	782.2603003
1993	1612.708383	4213.774214	2136.406017	918.4971025	780.3342215
1994	1677.638933	4458.5197	2140.421649	950.6457552	779.6510564
1995	1740.34656	4662.178042	2141.744907	981.7928372	778.9637642
1996	1799.297498	4741.749972	2275.190174	1011.631926	778.2664155
1997	1855.052926	4453.023524	2042.49325	1039.849632	776.5462982
1998	1907.129532	4292.611234	1887.956052	1066.678856	775.2928268
1999	1956.770173	4037.528289	1871.570813	1092.312434	775.314595
2000	2004.115646	4104.706438	1852.384589	1116.859481	775.680273
2001	2048.767183	4164.604674	1832.55445	1140.148118	776.0071174
2002	2090.797483	4217.498535	1811.838481	1162.210138	776.2979099
2003	2130.289374	4263.650653	1789.993127	1183.081646	776.5551268
2004	2167.333359	4303.304948	1766.771737	1202.802146	776.7809632
2005	2202.025441	4336.681967	1741.923626	1221.413719	776.9773474
2006	2234.465257	4363.975165	1715.193723	1238.960305	777.1459573
2007	2264.754456	4385.348056	1686.322906	1255.487074	777.2882347
2008	2292.995313	4400.932006	1655.049153	1271.039884	777.4053972
2009	2319.289586	4410.824653	1621.109642	1285.664815	777.4984465
2010	2343.737544	4415.088773	1584.243987	1299.407779	777.5681819
2011	2366.437181	4413.751619	1544.1988	1312.31419	777.6151982
2012	2387.483597	4406.804634	1500.733754	1324.4287	777.6399003
2013	2406.968474	4394.203539	1453.629388	1335.794978	777.6424992
2014	2426.272454	4448.984452	1498.566664	1346.157138	777.8690844
2015	2444.213563	4499.086742	1539.71186	1355.848785	778.0756041
