Year	WA.StraitJuanDeFuca	WA.SanJuanIslands	WA.EasternBays	WA.PugetSound	WA.HoodCanal	Total.Population	Huber.correction.factor	Pearson.trend
1970	68	119	334	97	837	1387	2081	2081
1971	94	167	402	119	831	1519	2279	2279
1972	127	227	475	144	826	1672	2508	2508
1973	165	301	553	172	822	1848	2772	2772
1974	211	390	634	202	817	2043	3065	3065
1975	263	493	717	234	813	2257	3386	3386
1976	322	612	802	269	810	2493	3740	3740
1977	386	745	887	305	806	2743	4115	4115
1978	456	892	972	344	803	3011	4517	4517
1979	531	1051	1057	383	801	3292	4938	4938
1980	609	1222	1140	424	798	3584	5376	5376
1981	691	1402	1221	465	796	3884	5826	5826
1982	774	1589	1299	506	794	4188	6282	6282
1983	859	1783	1374	548	793	4498	6747	6747
1984	944	1981	1446	590	791	4808	7212	7212
1985	1028	2180	1514	631	790	5115	7673	7673
1986	1110	2380	1578	671	788	5417	8126	8126
1987	1191	2580	1639	711	787	5717	8576	8576
1988	1271	2780	1696	749	786	6011	9017	9017
1989	1348	2977	1748	786	785	6296	9444	9444
1990	1421	3169	1797	823	785	6574	9861	9861
1991	1493	3356	1842	857	784	6839	10259	10259
1992	1562	3537	1884	891	782	7094	10641	10641
1993	1628	3711	1922	923	780	7336	11004	11004
1994	1689	3875	1956	954	778	7563	11345	11345
1995	1748	4030	1987	984	777	7778	11667	11667
1996	1801	4173	2015	1013	776	7977	11966	11966
1997	1850	4305	2039	1039	774	8157	12236	12236
1998	1894	4429	2060	1064	772	8325	12488	12488
1999	1936	4544	2081	1088	771	8484	12726	12726
2000	1975	4657	2100	1111	771	8639	12726	12726
2001	2012	4761	2118	1133	770	8782	12726	12726
2002	2045	4859	2134	1153	770	8916	12726	12726
2003	2076	4950	2148	1172	770	9040	12726	12726
2004	2105	5035	2161	1190	769	9155	13733	12217
2005	2131	5113	2173	1207	769	9262	13893	11728
2006	2155	5186	2183	1222	769	9360	14040	11259
2007	2177	5252	2192	1237	769	9450	14175	10809
2008	2198	5314	2200	1251	768	9533	14300	10376
2009	2216	5371	2207	1264	768	9610	14415	9961
2010	2233	5423	2214	1276	768	9681	14522	9563
2011	2248	5470	2219	1287	768	9744	14616	9180
2012	2262	5514	2224	1297	767	9802	14703	8813
2013	2275	5553	2227	1307	767	9854	14781	8461
2014	2288	5595	2234	1316	767	9912	14868	8122
2015	2300	5633	2241	1324	767	9965	14948	7797
