Year	logAbundance
1970	3.639839934
1971	3.729371954
1972	3.818903704
1973	3.908435578
1974	3.997967463
1975	4.087499354
1976	4.17703131
1977	4.266563172
1978	4.356095049
1979	4.445626942
1980	4.535158796
1981	4.624690715
1982	4.714222598
1983	4.803754452
1984	4.893286389
1985	4.982818229
1986	5.072350145
1987	5.16188199
1988	5.251413896
1989	5.340945777
1990	5.430477663
1991	5.520009545
1992	5.609541426
1993	5.699073304
1994	5.788605217
1995	5.878137074
1996	5.967668965
1997	6.057200858
1998	6.146732731
1999	6.236264634
2000	6.325796513
2001	6.415328389
2002	6.50486027
2003	6.59439216
2004	6.683924041
2005	6.773455934
2006	6.862987813
2007	6.952519703
2008	7.042051581
2009	7.131583468
2010	7.221115354
2011	7.310647233
2012	7.400179118
2013	7.489711005
2014	7.57924289
2015	7.668774772
