"V1" "V2"
"1" 2823277.68071398 2823277.68071398
"2" 6812186.57550839 6944842.29788886
"3" 7790024.16336525 8521162.77986441
"4" 9148492.59664099 9236994.78713943
"5" 10846198.9137426 10734032.5927984
"6" 12845910.6607985 12215184.7937459
"7" 13598882.7846189 12636245.4148552
"8" 13682825.4567745 13216701.5781817
"9" 14132066.3290344 13466697.1947855
"10" 14650135.0020344 13474364.5617548
"11" 14445101.5260992 14362699.3985374
"12" 14672929.8683059 14362699.3985374
"13" 15184537.4254194 14362699.3985374
"14" 14909598.144221 14362699.3985374
"15" 14909598.144221 14362699.3985374
"16" 14909598.144221 14362699.3985374
"17" 14909598.144221 14362699.3985374
"18" 14909598.144221 14362699.3985374
"19" 14909598.144221 14362699.3985374
"20" 14909598.144221 14362699.3985374
"21" 14909598.144221 14362699.3985374
"22" 14909598.144221 14362699.3985374
"23" 14909598.144221 14362699.3985374
"24" 14909598.144221 14362699.3985374
"25" 14909598.144221 14362699.3985374
"26" 14909598.144221 14362699.3985374
