"V1" "V2"
"1" 128304892.100242 128304892.100242
"2" 191418042.02966 191418042.02966
"3" 259401799.952833 259401799.952833
"4" 325997860.765019 325997860.765019
"5" 392211624.028804 392211624.028804
"6" 449294230.376203 449294230.376203
"7" 498659890.059382 498659890.059382
"8" 542948968.733839 542948968.733839
"9" 579227282.0304 579227282.0304
"10" 611400329.444966 611400329.444966
"11" 633069527.703557 633069527.703557
"12" 652851207.225339 652851207.225339
"13" 667540929.064088 667540929.064088
"14" 717495563.71406 690212297.823314
"15" 764753511.681527 712643401.25644
"16" 812592154.785885 733253732.764004
"17" 858005757.982695 753678033.725317
"18" 904106534.336031 775472010.527217
"19" 946533294.247185 795521814.874906
"20" 991196772.541459 815404516.969615
"21" 1033784308.69495 836642362.478563
"22" 1032317886.33137 835068716.359385
"23" 1033674215.18472 833488954.627637
"24" 1033618389.16808 836462572.528967
"25" 1034972507.16666 836400976.598276
