"V1" "V2"
"1" 10685490.4642598 10685490.4642598
"2" 24164291.2756157 24352830.0500067
"3" 30857402.683237 29631152.6692815
"4" 43570081.5567786 42220678.5240412
"5" 59373701.8149485 53921474.2467242
"6" 78466051.6597895 66145838.8862268
"7" 99668801.5483997 75671767.7350244
"8" 122438954.882314 79424670.5647598
"9" 135559585.417324 82069408.1444709
"10" 146558018.333326 84425591.7991208
"11" 155049550.939255 86243111.1416271
"12" 161548061.62956 87533550.343744
"13" 166319531.125352 88561350.6722909
"14" 169777665.789873 89585190.134034
"15" 172130272.222629 90095648.1290139
"16" 173752734.777098 90605143.8934747
"17" 175011165.46903 91113686.4288037
"18" 175728915.390568 91367603.0072405
"19" 176266587.05356 91621284.5859429
"20" 176624731.247608 91874732.2483631
"21" 176803712.578123 92127947.0689949
"22" 176982633.533739 92127947.0689949
"23" 177161494.216148 92380930.1134805
"24" 177161494.216148 92380930.1134805
"25" 177161494.216148 92380930.1134805
