u.WA.StraitJuanDeFuca,u.WA.SanJuanIslands,u.WA.EasternBays,u.WA.PugetSound,u.WA.HoodCanal,year,u.WA.StraitJuanDeFuca,u.WA.SanJuanIslands,u.WA.EasternBays,u.WA.PugetSound,u.WA.HoodCanal,,,u.WA.Georgia.Strait,u.WA.OlympicPeninsula,u.WA.CoastalEstuaries,u.OR.NorthCoast,u.OR.SouthCoast,u.CA.Mainland,u.CA.ChannelIslands,u.BC.Inland,u.BC.Outer,,,,,,,,,,,,,,,,,,
4.633024574,4.59166955,5.27975265,4.647252684,6.626441578,1970,102.8245949,98.65900889,196.3213093,104.2980519,754.7915195,,,7.421566072,5.878793362,6.484302083,5.512320562,6.986668572,7.968238023,6.862663447,7.718566561,6.47070638,,1671.649382,,,,,,,,,102.8245949,98.65900889,196.3213093,104.2980519,754.7915195,,1970,"1,923"
4.886004523,4.967635104,5.529514894,4.837716027,6.629485945,1971,132.4234209,143.6866812,252.0216242,126.1808288,757.0928832,,,7.639719768,6.089578016,6.701073504,5.661290651,7.060562622,8.148075419,7.00437459,7.893789373,6.706604438,,,,,,,,,,,132.4234209,143.6866812,252.0216242,126.1808288,757.0928832,,1971,"2,159"
5.119323176,5.307314632,5.751519908,5.01453467,6.632270101,1972,167.2221513,201.8075725,314.6685643,150.5860483,759.2036849,,,7.845274669,6.284236917,6.901125976,5.801708555,7.129942056,8.311627812,7.132594775,8.06001977,6.92808621,,,,,,,,,,,167.2221513,201.8075725,314.6685643,150.5860483,759.2036849,,1972,"2,438"
5.334508167,5.614180832,5.948805938,5.178686412,6.634818144,1973,207.370732,274.2885987,383.2953872,177.4495622,761.1406352,,,8.038956517,6.46400432,7.08573917,5.934063089,7.195083315,8.460371341,7.248612311,8.217716881,7.136029515,,,,,,,,,,,207.370732,274.2885987,383.2953872,177.4495622,761.1406352,,1973,"2,759"
5.532968398,5.891370936,6.124072939,5.331079005,6.637152131,1974,252.8934865,361.9010877,456.7211086,206.660842,762.9192024,,,8.221449138,6.630020064,7.256093995,6.058814998,7.256245953,8.59564849,7.353592905,8.333952652,7.331258513,,,,,,,,,,,252.8934865,361.9010877,456.7211086,206.660842,762.9192024,,1974,"3,123"
5.716003269,6.141718785,6.279719525,5.472555175,6.639292266,1975,303.688732,464.851865,533.6389704,238.0677209,764.5537008,,,8.393396849,6.783336791,7.413280158,6.176398562,7.313673671,8.718680201,7.448591363,8.460080712,7.514546972,,,,,,,,,,,303.688732,464.851865,533.6389704,238.0677209,764.5537008,,1975,"3,526"
5.884811184,6.3677838,6.417875795,5.603897278,6.641257072,1976,359.5348757,582.7648732,612.7002299,271.4823907,766.0573773,,,8.555406738,6.924926622,7.554855062,6.287223106,7.367595288,8.830576896,7.534562197,8.578780451,7.686621335,,,,,,,,,,,359.5348757,582.7648732,612.7002299,271.4823907,766.0573773,,1976,"3,967"
6.040497396,6.571877146,6.540432485,5.725831631,6.643063558,1977,420.10194,714.7102001,692.5860464,306.6882106,767.4424999,,,8.684130603,7.055687325,7.699891095,6.391674426,7.418225653,8.932348498,7.612369214,8.702958125,7.838343316,,,,,,,,,,,420.10194,714.7102001,692.5860464,306.6882106,767.4424999,,1977,"4,439"
6.184081247,6.756085361,6.649066842,5.839032527,6.64472736,1978,484.9671938,859.2718641,772.063532,343.4469043,768.7204351,,,8.803943127,7.176448004,7.84399883,6.47217332,7.465766502,9.024913544,7.68279419,8.820378303,7.986717402,,,,,,,,,,,484.9671938,859.2718641,772.063532,343.4469043,768.7204351,,1978,"4,940"
6.316831338,6.928047967,6.782449476,5.944181362,6.646544257,1979,553.8153556,1020.499984,882.2270737,381.526901,770.1183906,,,8.915267327,7.287974356,7.977473546,6.546942829,7.508287439,9.109107481,7.746544731,8.931365298,8.125748787,,,,,,,,,,,553.8153556,1020.499984,882.2270737,381.526901,770.1183906,,1979,"5,521"
6.439288339,7.083766739,6.905221898,6.041804205,6.648248599,1980,625.9611691,1192.451724,997.4698253,420.6512918,771.4320548,,,9.018496251,7.390973527,8.102394029,6.616243235,7.548077708,9.185690199,7.804261381,9.036225655,8.255988506,,,,,,,,,,,625.9611691,1192.451724,997.4698253,420.6512918,771.4320548,,1980,"6,132"
6.552254023,7.224833661,7.019064307,6.132440905,6.64985514,1981,700.8220639,1373.110195,1117.740267,460.5589705,772.6723881,,,9.113994365,7.486070471,8.242328176,6.680315785,7.585295852,9.255352894,7.856524057,9.135248998,8.37795275,,,,,,,,,,,700.8220639,1373.110195,1117.740267,460.5589705,772.6723881,,1981,"6,770"
